,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,owner_cat
312,Toyota,Fortuner 3.0 4x2 AT,1525000,2014,72000,Diesel,Automatic,Delhi,White,First,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0,2
313,Mercedes-Benz,C-Class C 200 Avantgarde,2675000,2016,28000,Petrol,Automatic,Gurgaon,Silver,First,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0,2
314,Honda,Jazz V AT Petrol,545000,2015,42000,Petrol,Automatic,Delhi,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0,2
315,Mercedes-Benz,S-Class S 350D [2018-2020],7900000,2017,11850,Diesel,Automatic,Vadodara,White,First,Individual,2925 cc,282 bhp @ 3600 rpm,600 Nm @ 1600 rpm,RWD,5246.0,1899.0,1494.0,5.0,70.0,2
316,Honda,Jazz S,195000,2010,32000,Petrol,Manual,Gurgaon,Silver,First,Individual,1198 cc,89 bhp @ 6200 rpm,110 Nm @ 4800 rpm,FWD,3900.0,1695.0,1535.0,5.0,42.0,2
317,BMW,3-Series 320d Luxury Edition,4550000,2021,24000,Diesel,Automatic,Delhi,White,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4709.0,1827.0,1435.0,5.0,59.0,2
318,Land Rover,Evoque HSE Dynamic,2499000,2015,50623,Diesel,Automatic,Kolkata,Gold,Second,Individual,2179 cc,188 bhp @ 3500 rpm,420 Nm @ 1750 rpm,AWD,4465.0,1900.0,1635.0,5.0,57.0,4
319,Mahindra,Xylo D2 BS-IV,210000,2012,85000,Diesel,Manual,Kanpur,White,Fourth,Individual,2489 cc,95@3600,220@1400,,4520.0,1850.0,1895.0,7.0,55.0,3
320,Hyundai,Venue SX 1.5 CRDi,1097000,2022,1700,Diesel,Manual,Mumbai,White,First,Individual,1493 cc,99 bhp @ 4000 rpm,240 Nm @ 1500 rpm,FWD,3995.0,1770.0,1605.0,5.0,45.0,2
321,Volkswagen,Polo GT TSI,1095000,2020,43260,Petrol,Automatic,Bangalore,Red,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,3971.0,1682.0,1469.0,5.0,45.0,2
322,Maruti Suzuki,Wagon R LXI CNG,325000,2015,67738,CNG,Manual,Delhi,White,Second,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0,4
323,Mahindra,Scorpio S11 4WD 7 STR,1375000,2019,69000,Diesel,Manual,Lucknow,Black,First,Individual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456.0,1820.0,1995.0,7.0,60.0,2
324,Audi,A4 2.0 TDI (143 bhp),975000,2012,93417,Diesel,Automatic,Lucknow,White,First,Individual,,,,,,,,,,2
325,Maruti Suzuki,Swift VXi,745000,2021,14722,Petrol,Manual,Bangalore,White,First,Individual,1197 cc,89 bhp @ 6000 rpm,113 Nm @ 4400 rpm,FWD,3845.0,1735.0,1530.0,5.0,37.0,2
326,Toyota,Innova 2.4 VX 7 STR [2016-2020],2175000,2017,29000,Diesel,Manual,Mysore,Bronze,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0,2
327,Jeep,Compass Limited (O) 1.4 Petrol AT [2017-2020],1250000,2017,60200,Petrol,Automatic,Thane,White,First,Corporate,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0,2
328,Maruti Suzuki,Swift VDi,500000,2017,140000,Diesel,Manual,Warangal,Grey,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0,2
329,Honda,WR-V S MT Petrol,625000,2017,23798,Petrol,Manual,Ahmedabad,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0,2
330,Honda,City 1.5 S MT,250000,2011,55000,Petrol,Manual,Kolkata,Silver,First,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0,2
331,Volkswagen,Vento TSI,650000,2017,51000,Petrol,Automatic,Rohtak,White,First,Individual,1197 cc,103 bhp @ 5000 rpm,175 Nm @ 1500 rpm,FWD,4384.0,1699.0,1466.0,5.0,55.0,2
332,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0,4
333,Renault,Duster RXL Petrol,600000,2017,48000,Petrol,Manual,Mumbai,Black,First,Individual,1498 cc,105 bhp @ 5600 rpm,142 Nm @ 4000 rpm,FWD,4315.0,1822.0,1695.0,5.0,50.0,2
334,BMW,5-Series 520d Sedan,1400000,2013,121000,Diesel,Automatic,Kanpur,Blue,First,Individual,1995 cc,184 bhp @ 4000 rpm,380 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,,2
335,Ford,Fiesta Style Diesel [2011-2014],295000,2013,74000,Diesel,Manual,Hyderabad,Maroon,First,Individual,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,4291.0,1722.0,1496.0,5.0,43.0,2
336,Mahindra,XUV500 W8,484999,2012,102000,Diesel,Manual,Mumbai,Grey,Second,Individual,2179 cc,140 bhp @ 3750 rpm,330 Nm @ 2800 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0,4
337,BMW,5-Series 530i Sport Line,4250000,2018,32000,Petrol,Automatic,Mumbai,Blue,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4936.0,1868.0,1479.0,5.0,57.0,2
338,Tata,Nexon EV XZ Plus,1550000,2020,48400,Electric,Automatic,Bangalore,White,First,Individual,,,,FWD,3993.0,1811.0,1606.0,5.0,,2
339,Tata,Safari 2.2 EX 4x2,375000,2013,97000,Diesel,Manual,Ambala Cantt,Black,First,Individual,2179 cc,138 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD,4655.0,1965.0,1922.0,7.0,55.0,2
340,Kia,Seltos GTX Plus AT 1.4 [2019-2020],1625000,2021,16000,Petrol,Automatic,Kolkata,Red,First,Individual,1353 cc,138 bhp @ 6000 rpm,242 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0,2
341,Porsche,Cayenne Platinum Edition Diesel,5350000,2016,55700,Diesel,Automatic,Navi Mumbai,Silver,First,Corporate,2967 cc,241 bhp @ 3800 rpm,550 Nm @ 1750 rpm,AWD,4855.0,1939.0,1705.0,5.0,85.0,2
342,BMW,X5 xDrive30d xLine,4250000,2017,80000,Diesel,Automatic,Thane,White,First,Individual,2993 cc,262 bhp @ 4000 rpm,620 Nm @ 1500 rpm,AWD,4922.0,2004.0,1745.0,5.0,80.0,2
343,Ford,Ecosport Trend 1.5 TDCi,480000,2014,115000,Diesel,Manual,Pune,White,First,Individual,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0,2
344,Hyundai,Grand i10 NIOS Magna 1.2 Kappa VTVT,590000,2020,74000,Petrol,Manual,Ahmedabad,White,First,Individual,1197 cc,82 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3805.0,1680.0,1520.0,5.0,37.0,2
345,Hyundai,Elite i20 Sportz 1.4,561000,2015,61000,Diesel,Manual,Ahmedabad,Silver,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0,2
346,Toyota,Corolla Altis 1.8 G,725000,2014,104814,Petrol,Manual,Mumbai,Grey,First,Individual,1798 cc,138 bhp @ 6400 rpm,173 Nm @ 4000 rpm,FWD,4540.0,1760.0,1480.0,5.0,55.0,2
347,Hyundai,Elantra 1.8 SX MT,645000,2013,17000,Petrol,Manual,Pune,White,First,Individual,1797 cc,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD,4530.0,1775.0,1470.0,5.0,56.0,2
348,Audi,Q3 35 TDI Premium + Sunroof,1695000,2015,60000,Diesel,Automatic,Delhi,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0,4
349,Maruti Suzuki,Swift Lxi (O) [2014-2017],450000,2016,45000,Petrol,Manual,Delhi,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0,2
350,Mahindra,XUV500 W10,1375000,2016,75811,Diesel,Manual,Bangalore,Black,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0,2
351,Mahindra,Thar AX 4-STR Convertible Petrol MT,1700000,2021,3813,Petrol,Manual,Chennai,Red,First,Individual,1997 cc,150 bhp @ 5000 rpm,300 Nm @ 1250 rpm,AWD,3985.0,1820.0,1855.0,4.0,57.0,2
352,Maruti Suzuki,Swift VXi [2014-2017],525000,2016,64928,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0,2
353,Maruti Suzuki,DZire VDi,590000,2018,68500,Diesel,Manual,Varanasi,Grey,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1735.0,1515.0,5.0,37.0,2
354,Toyota,Fortuner 3.0 4x2 AT,1495000,2014,85000,Diesel,Automatic,Delhi,White,First,Individual,2982 cc,169 bhp @ 3600 rpm,360 Nm @ 1400 rpm,RWD,4705.0,1840.0,1850.0,7.0,80.0,2
355,BMW,5-Series 520d M Sport,3300000,2017,41296,Diesel,Automatic,Mumbai,Blue,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,65.0,2
356,Honda,Amaze 1.5 SX i-DTEC,385000,2013,72567,Diesel,Manual,Samastipur,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0,2
357,Maruti Suzuki,Wagon R VXI+,535000,2020,4295,Petrol,Manual,Samastipur,Silver,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636.0,1475.0,1670.0,5.0,35.0,2
358,Maruti Suzuki,Vitara Brezza ZDi Plus,875000,2018,82000,Diesel,Manual,Ahmedabad,White,First,Individual,1248 cc,89 bhp @ 4000 rpm,200 Nm @ 1750 rpm,FWD,3995.0,1790.0,1640.0,5.0,48.0,2
359,Maruti Suzuki,Swift DZire LXi,295000,2010,33000,Petrol,Manual,Mumbai,Grey,First,Individual,1298 cc,87@6000,113@4500,FWD,4160.0,1690.0,1530.0,5.0,43.0,2
360,Fiat,Linea Emotion 1.4,235000,2011,54000,Petrol,Manual,Nashik,Black,First,Individual,1368 cc,90@6000,115@4500,,4560.0,1730.0,1487.0,5.0,45.0,2
361,Hyundai,Creta SX 1.6 CRDi (O),969999,2018,68000,Diesel,Manual,Kanpur,Black,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0,2
362,Honda,City ZX CVT Petrol,1700000,2022,8530,Petrol,Automatic,Pune,White,UnRegistered Car,Individual,1498 cc,119 bhp @ 6600 rpm,145 Nm @ 4300 rpm,FWD,4549.0,1748.0,1489.0,5.0,40.0,6
363,Hyundai,Tucson GLS 2WD AT Petrol,1789999,2018,46000,Petrol,Automatic,Delhi,Black,First,Individual,1999 cc,153 bhp @ 6200 rpm,192 Nm @ 4000 rpm,FWD,4475.0,1850.0,1660.0,5.0,62.0,2
364,Toyota,Innova 2.7 VX 7 STR [2016-2020],1964999,2020,26000,Petrol,Manual,Delhi,Silver,First,Individual,2694 cc,164 bhp @ 5200 rpm,245 Nm @ 4000 rpm,RWD,4735.0,1830.0,1795.0,7.0,65.0,2
365,Audi,TT 2.0 TFSI Quattro,4000000,2014,39394,Petrol,Automatic,Jaipur,White,Second,Individual,1984 cc,208 bhp @ 4300 rpm,350 Nm @ 1600 rpm,AWD,4198.0,1842.0,1353.0,2.0,60.0,4
366,Tata,Tiago Revotron XTA [2017-2019],484999,2018,35000,Petrol,Automatic,Patna,Blue,First,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0,2
367,Maruti Suzuki,Swift VXi [2014-2017],580000,2019,17881,Petrol,Manual,Ranchi,Grey,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0,2
368,Honda,City E [2013-2016],450000,2014,48409,Petrol,Manual,Ranchi,White,Second,Individual,1497 cc,117 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,4
369,Maruti Suzuki,Alto 800 Vxi (Airbag),355000,2020,40000,Petrol,Manual,Deoghar,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0,2
370,Audi,Q3 35 TDI Premium + Sunroof,2375000,2017,61643,Diesel,Automatic,Dehradun,Blue,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0,2
371,Mercedes-Benz,C-Class Cabriolet C 300,6500000,2020,21000,Petrol,Automatic,Gurgaon,White,Second,Individual,1991 cc,241 bhp @ 5500 rpm,370 Nm @ 1300 rpm,RWD,4686.0,1810.0,1409.0,4.0,59.0,4
372,Tata,Nexon XZ Plus Dark Edition,1050000,2022,1500,Petrol,Manual,Kolkata,Black,First,Individual,1199 cc,118 bhp @ 5500 rpm,170 Nm @ 1750 rpm,FWD,3993.0,1811.0,1606.0,5.0,44.0,2
373,Ford,Ecosport Ambiente 1.5L TDCi,445000,2014,38985,Diesel,Manual,Noida,Silver,First,Individual,1498 cc,99 bhp @ 3750 rpm,205 Nm @ 1750 rpm,FWD,3998.0,1765.0,1647.0,5.0,52.0,2
374,Honda,Jazz SV Petrol,495000,2015,52000,Petrol,Manual,Noida,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0,2
375,Hyundai,i10 Sportz 1.2 Kappa2,275000,2011,42000,Petrol,Manual,Pune,Grey,First,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0,2
376,Honda,Amaze 1.2 VX AT i-VTEC,465000,2014,29442,Petrol,Automatic,Mumbai,Silver,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0,2
377,Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],1050000,2017,71800,Diesel,Manual,Lucknow,Black,First,Individual,1956 cc,171 bhp @ 3750 rpm,350 Nm @ 1750 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0,2
378,Mercedes-Benz,C-Class C 200 Progressive [2018-2020],4900000,2022,5000,Petrol,Automatic,Delhi,White,First,Individual,1497 cc,181 bhp @ 5800 rpm,280 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0,2
379,Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,695000,2020,18000,CNG,Manual,Ghaziabad,Green,First,Individual,1197 cc,68 bhp @ 6000 rpm,95 Nm @ 4000 rpm,FWD,3805.0,1680.0,1520.0,5.0,60.0,2
380,Toyota,Fortuner 2.8 4x2 AT [2016-2020],3210000,2018,37000,Diesel,Automatic,Delhi,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,RWD,4795.0,1855.0,1835.0,7.0,80.0,2
381,Honda,City 1.5 S MT,269000,2009,85000,Petrol,Manual,Mohali,White,Second,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0,4
382,Hyundai,Xcent E Plus CRDi,445000,2018,65555,Diesel,Manual,Varanasi,White,Second,Individual,1186 cc,74 bhp @ 4000 rpm,190 Nm @ 1750 rpm,FWD,3995.0,1660.0,1520.0,5.0,43.0,4
383,Land Rover,Evoque SE R-Dynamic,5950000,2021,35000,Diesel,Automatic,Delhi,Beige,First,Individual,1999 cc,177 bhp @ 4000 rpm,430 Nm @ 1750 rpm,AWD,4371.0,1996.0,1649.0,5.0,66.5,2
384,BMW,X3 xDrive 20d Luxury Line [2018-2020],3800000,2018,87000,Diesel,Automatic,Raipur,Blue,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657.0,1881.0,1678.0,5.0,67.0,2
385,Hyundai,Creta 1.6 SX Plus AT Petrol,1000000,2018,42000,Petrol,Automatic,Kolkata,White,First,Individual,1591 cc,122 bhp @ 6400 rpm,154 Nm @ 4850 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0,2
386,Mahindra,Scorpio S11 4WD 7 STR,1490000,2018,68000,Diesel,Manual,Ludhiana,White,Second,Individual,2179 cc,140 bhp @ 3750 rpm,320 Nm @ 1500 rpm,AWD,4456.0,1820.0,1995.0,7.0,60.0,4
387,MG,Astor Sharp EX 1.5 MT,1550000,2022,600,Petrol,Manual,Kolkata,Orange,First,Individual,1498 cc,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,FWD,4323.0,1809.0,1650.0,5.0,48.0,2
388,Tata,Grande GX,199000,2011,192326,Diesel,Manual,Ranchi,White,Third,Individual,2179 cc,120@4000,250@1500,,4421.0,1780.0,1940.0,7.0,65.0,5
389,Toyota,Innova 2.0 V,575000,2013,82000,Petrol,Manual,Varanasi,Gold,UnRegistered Car,Individual,1998 cc,136@5600,182@4000,,4555.0,1770.0,1755.0,8.0,55.0,6
390,Toyota,Etios Liva VD Dual Tone,484999,2017,86006,Diesel,Manual,Gurgaon,White,First,Individual,1364 cc,67 bhp @ 3800 rpm,170 Nm @ 1800 rpm,FWD,3884.0,1695.0,1510.0,5.0,45.0,2
391,Honda,City SV Diesel,425000,2014,75000,Diesel,Manual,Kanpur,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,2
392,Mahindra,Scorpio S10,1150000,2014,99000,Diesel,Manual,Ludhiana,Silver,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0,2
393,Skoda,Superb L&K TSI AT,3195000,2021,21651,Petrol,Automatic,Mumbai,Blue,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4861.0,1864.0,1483.0,5.0,66.0,2
394,Hyundai,i20 Active 1.4 SX,725000,2016,84000,Diesel,Manual,Aurangabad,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3995.0,1760.0,1555.0,5.0,45.0,2
395,Mercedes-Benz,M-Class ML 350 CDI,2450000,2014,65000,Diesel,Automatic,Chandigarh,White,Second,Individual,2997 cc,254 bhp @ 3600 rpm,619 Nm @ 1600 rpm,AWD,4804.0,2141.0,1796.0,5.0,70.0,4
396,Maruti Suzuki,Ciaz Zeta 1.4 AT,741000,2017,31000,Petrol,Automatic,Mumbai,Blue,First,Individual,1373 cc,91 bhp @ 6000 rpm,130 Nm @ 4000 rpm,FWD,4490.0,1730.0,1485.0,5.0,43.0,2
397,Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],7350000,2022,17000,Diesel,Automatic,Surat,Grey,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,5063.0,1860.0,1494.0,5.0,80.0,2
398,Mahindra,Thar AX 6-STR Soft Top Diesel MT,1550000,2020,28000,Diesel,Manual,Delhi,Black,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1920.0,6.0,57.0,2
399,Honda,City S Diesel,645000,2015,64000,Diesel,Manual,Raipur,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,2
400,Honda,City SV Diesel,550000,2014,85000,Diesel,Manual,Jaipur,Silver,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,2
401,Maruti Suzuki,Baleno Alpha 1.2 AT,595000,2017,35000,Petrol,Automatic,Mumbai,Blue,Third,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0,5
402,Volvo,V40 Cross Country D3,1595000,2015,44000,Diesel,Automatic,Mumbai,Blue,First,Individual,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD,4370.0,1783.0,1458.0,5.0,60.0,2
403,Maruti Suzuki,Celerio X Zxi AMT [2017-2019],500000,2017,32000,Petrol,Automatic,Chennai,Orange,Second,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715.0,1635.0,1565.0,5.0,35.0,4
404,Maruti Suzuki,Wagon R LXI ABS,345000,2016,49857,Petrol,Manual,Faridabad,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0,2
405,Maruti Suzuki,Wagon R VXI+,299000,2013,46000,Petrol,Manual,Varanasi,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3636.0,1475.0,1670.0,5.0,35.0,2
406,Maruti Suzuki,Wagon R LXi Minor,160000,2008,50000,Petrol,Manual,Varanasi,Silver,Second,Individual,1061 cc,67@6200,84@3500,FWD,3520.0,1475.0,1690.0,5.0,35.0,4
407,Maruti Suzuki,Baleno Delta 1.2 AT,570000,2017,36000,Petrol,Automatic,Zirakpur,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0,2
408,Renault,Kiger RXT Turbo CVT,800000,2021,13000,Petrol,Automatic,Dehradun,White,First,Individual,999 cc,99 bhp @ 5000 rpm,152 Nm @ 2200 rpm,FWD,3991.0,1750.0,1605.0,5.0,40.0,2
409,Maruti Suzuki,Wagon R VXi 1.0 [2019-2019],440000,2018,40000,Petrol,Manual,Kanpur,White,First,Individual,,,,,3655.0,1620.0,1675.0,5.0,32.0,2
410,Mercedes-Benz,E-Class 200 K Classic,509999,2007,39000,Petrol,Automatic,Ludhiana,Silver,Third,Individual,,,,,,,,,,5
411,Hyundai,Eon 1.0 Kappa Magna + [2014-2016],315000,2013,45000,Petrol,Manual,Chennai,Grey,First,Individual,998 cc,68 bhp @ 6200 rpm,94 Nm @ 3500 rpm,FWD,3515.0,1500.0,1510.0,5.0,32.0,2
412,Maruti Suzuki,Alto LXi BS-III,227000,2011,87513,Petrol,Manual,Salem,Blue,Second,Individual,796 cc,47@6200,62@3000,,3495.0,1475.0,1460.0,5.0,35.0,4
413,Mercedes-Benz,S-Class 350 L,1850000,2011,26000,Petrol,Automatic,Delhi,Black,First,Individual,3498 cc,272 bhp @ 6300 rpm,345 Nm @ 4500 rpm,RWD,5226.0,2120.0,1479.0,5.0,90.0,2
414,Maruti Suzuki,S-Presso VXi CNG,610000,2022,3800,CNG,Manual,Delhi,White,First,Individual,998 cc,58 bhp @ 5500 rpm,78 Nm @ 3500 rpm,FWD,3565.0,1520.0,1564.0,4.0,55.0,2
415,Toyota,Innova 2.4 VX 8 STR [2016-2020],1995000,2018,35123,Diesel,Manual,Patna,White,First,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,8.0,55.0,2
416,Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],1875000,2021,21000,Diesel,Automatic,Delhi,Grey,First,Individual,1493 cc,114 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0,2
417,Hyundai,Creta SX (O) 1.5 Petrol CVT [2020-2022],1748999,2022,2670,Petrol,Automatic,Kolkata,White,First,Individual,1497 cc,113 bhp @ 6300 rpm,144 Nm @ 4500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0,2
418,Skoda,Rapid Ambition 1.6 TDI CR MT,640000,2016,124000,Diesel,Manual,Coimbatore,Grey,First,Individual,1598 cc,105 bhp @ 4400 rpm,250 Nm @ 2500 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0,2
419,Hyundai,Elite i20 Asta 1.2 (O) [2016],779000,2016,9889,Petrol,Manual,Bangalore,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0,2
420,Honda,City ZX CVT Petrol,1450000,2021,13000,Petrol,Automatic,Delhi,Brown,First,Individual,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0,2
421,Tata,Nexon XZA Plus Petrol,890000,2018,35000,Petrol,Automatic,Chennai,Orange,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0,2
422,Maruti Suzuki,Baleno Zeta 1.2,625000,2017,51145,Petrol,Manual,Nagpur,Red,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0,2
423,Mercedes-Benz,GLS 350 d,8500000,2019,13000,Diesel,Automatic,Mumbai,White,First,Individual,2987 cc,255 bhp @ 3400 rpm,620 Nm @ 1600 rpm,AWD,5130.0,1934.0,1850.0,7.0,100.0,2
424,Audi,RS5 4.2 Coupe,2900000,2011,56000,Petrol,Automatic,Pune,Red,Third,Individual,4163 cc,444 bhp @ 8250 rpm,430 Nm @ 4000 rpm,AWD,4649.0,1860.0,1366.0,5.0,64.0,5
425,Toyota,Innova 2.5 G 8 STR BS-III,434999,2010,120000,Diesel,Manual,Ranchi,Silver,First,Individual,,,,,,,,,,2
426,Mercedes-Benz,GLC 220 d Progressive,4550000,2018,45000,Diesel,Automatic,Mumbai,Grey,First,Individual,2143 cc,168 bhp @ 3000 rpm,400 Nm @ 1400 rpm,AWD,4656.0,1890.0,1639.0,5.0,66.0,2
427,Skoda,Superb L&K TDI AT,2500000,2017,82900,Diesel,Automatic,Coimbatore,Brown,First,Individual,1968 cc,174 bhp @ 3600 rpm,350 Nm @ 1500 rpm,FWD,4861.0,1864.0,1483.0,5.0,66.0,2
428,Maruti Suzuki,Alto 800 Lxi CNG,249000,2014,56843,CNG + CNG,Manual,Navi Mumbai,White,Second,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0,4
