,Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
2000,Jeep,Compass Limited (O) 1.4 Petrol DCT,2275000,2022,2000,Petrol,Automatic,Kolkata,Green,First,Individual,1368 cc,161 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4405.0,1818.0,1640.0,5.0,60.0
150,Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],1575000,2019,55000,Diesel,Manual,Lucknow,Silver,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4315.0,1800.0,1645.0,5.0,50.0
1730,Toyota,Innova 2.8 GX AT 8 STR [2016-2020],2196000,2019,42794,Diesel,Automatic,Bangalore,White,First,Individual,2755 cc,172 bhp @ 3400 rpm,360 Nm @ 1200 rpm,RWD,4735.0,1830.0,1795.0,8.0,55.0
553,MG,Gloster Savvy 6 STR 2.0 Twin Turbo 4WD,3500000,2021,7900,Diesel,Automatic,Hyderabad,Black,First,Individual,1996 cc,215 bhp @ 4000 rpm,480 Nm @ 1500 rpm,AWD,4985.0,1926.0,1867.0,6.0,75.0
1579,Audi,Q5 3.0 TDI quattro,825000,2009,63300,Diesel,Automatic,Delhi,White,First,Individual,2967 cc,240@4000,500@1500,,4628.0,1879.0,1651.0,5.0,75.0
1423,Maruti Suzuki,Celerio X Vxi AMT [2017-2019],434000,2017,50000,Petrol,Automatic,Dehradun,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3715.0,1635.0,1565.0,5.0,35.0
1796,Mahindra,Quanto C4,249000,2013,60000,Diesel,Manual,Kolkata,Red,First,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3985.0,1850.0,1880.0,7.0,55.0
1930,Hyundai,Verna 1.6 CRDI SX,855000,2017,57000,Diesel,Manual,Bangalore,Grey,Second,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4375.0,1700.0,1475.0,5.0,43.0
1335,Mercedes-Benz,C-Class 220 BlueEfficiency,1450000,2014,45000,Diesel,Automatic,Ranchi,White,First,Individual,2143 cc,170 bhp @ 4200 rpm,400 Nm @ 2800 rpm,RWD,4596.0,1770.0,1447.0,5.0,66.0
1913,Maruti Suzuki,Swift DZire VDI,260000,2011,90000,Diesel,Manual,Chandigarh,White,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
1014,Volkswagen,Taigun Highline 1.0 TSI AT,1500000,2021,31000,Petrol,Automatic,Hyderabad,Silver,First,Individual,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4221.0,1760.0,1612.0,5.0,50.0
987,Tata,Nexon XM,760000,2018,20251,Petrol,Manual,Pune,Grey,First,Individual,1198 cc,108 bhp @ 5000 rpm,170 Nm @ 1750 rpm,FWD,3994.0,1811.0,1607.0,5.0,44.0
1054,Maruti Suzuki,Eeco 5 STR [2014-2019],320000,2015,64000,Petrol,Manual,Ranchi,Blue,First,Individual,1196 cc,73 bhp @ 6000 rpm,101 Nm @ 3000 rpm,RWD,3675.0,1475.0,1800.0,5.0,40.0
1420,Maruti Suzuki,Baleno Delta 1.2,636000,2021,35500,Petrol,Manual,Ranchi,White,First,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3995.0,1745.0,1500.0,5.0,37.0
17,Maruti Suzuki,Baleno Alpha Automatic,894999,2018,21365,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0
1821,Toyota,Innova 2.5 E,160000,2008,90000,Diesel,Manual,Varanasi,White,Fourth,Individual,2494 cc,102@5600,200@3400,,4555.0,1770.0,1755.0,8.0,55.0
1582,Audi,Q2 Premium 40 TFSI quattro,3450000,2022,4600,Petrol,Automatic,Gurgaon,Blue,First,Individual,1984 cc,188 bhp @ 4200 rpm,320 Nm @ 1500 rpm,AWD,4318.0,1805.0,1548.0,5.0,55.0
625,Hyundai,Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],425000,2015,48000,Petrol,Manual,Delhi,Silver,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
923,Renault,Kwid RXT [2015-2019],315000,2017,15507,Petrol,Manual,Thane,Bronze,First,Individual,799 cc,53 bhp @ 5678 rpm,72 Nm @ 4386 rpm,FWD,3679.0,1579.0,1478.0,5.0,28.0
332,Honda,Brio S MT,310000,2014,49000,Petrol,Manual,Delhi,Brown,Second,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
1875,Maruti Suzuki,Alto 800 Lxi CNG,289000,2015,78000,CNG,Manual,Mumbai,White,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3395.0,1490.0,1475.0,5.0,35.0
1388,Porsche,Macan Base [2019-2020],9100000,2022,9000,Petrol,Automatic,Gurgaon,Blue,First,Individual,1984 cc,248 bhp @ 5000 rpm,370 Nm @ 1600 rpm,AWD,4696.0,1923.0,1624.0,5.0,65.0
544,BMW,5-Series 520d Luxury Line,1750000,2014,69000,Diesel,Automatic,Jalandhar,White,Second,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,RWD,4899.0,2094.0,1464.0,5.0,65.0
582,Land Rover,Range Rover 3.0 V6 Diesel Vogue,22000000,2019,35000,Diesel,Automatic,Pune,Blue,First,Individual,2993 cc,244 bhp @ 4000 rpm,600 Nm @ 2000 rpm,AWD,4999.0,2220.0,1835.0,5.0,105.0
708,Maruti Suzuki,Celerio VXi,565000,2020,47000,Petrol,Manual,Hyderabad,White,First,Individual,998 cc,67 bhp @ 6000 rpm,90 Nm @ 3500 rpm,FWD,3695.0,1600.0,1560.0,5.0,35.0
410,Mercedes-Benz,E-Class 200 K Classic,509999,2007,39000,Petrol,Automatic,Ludhiana,Silver,Third,Individual,,,,,,,,,
792,Honda,Brio E MT,375000,2016,35134,Petrol,Manual,Delhi,Silver,First,Individual,1198 cc,87 bhp @ 6000 rpm,109 Nm @ 4500 rpm,FWD,3610.0,1680.0,1500.0,5.0,35.0
1713,Mercedes-Benz,C-Class C 220d Progressive [2018-2019],4250000,2018,24000,Diesel,Automatic,Hyderabad,White,First,Individual,1950 cc,192 bhp @ 3800 rpm,400 Nm @ 1600 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
1724,Ford,Mustang GT Fastback 5.0L v8,7990000,2018,23000,Petrol,Automatic,Chennai,Yellow,First,Individual,4951 cc,396 bhp @ 6500 rpm,515 Nm @ 4250 rpm,RWD,4784.0,2080.0,1391.0,4.0,60.9
217,Toyota,Innova 2.4 G 7 STR [2016-2017],2250000,2020,24549,Diesel,Manual,Jaipur,Grey,Second,Individual,2393 cc,148 bhp @ 3400 rpm,343 Nm @ 1400 rpm,RWD,4735.0,1830.0,1795.0,7.0,55.0
1106,Volkswagen,Polo Comfortline 1.2L (P),240000,2010,78000,Petrol,Manual,Ludhiana,White,Second,Individual,,,,,,,,,
850,Mahindra,Scorpio LX BS-III,365000,2009,90000,Diesel,Manual,Lucknow,Green,Second,Individual,2179 cc,120 bhp @ 4000 rpm,290 Nm @ 1800 rpm,RWD,4430.0,1817.0,1975.0,8.0,60.0
284,Hyundai,i10 Sportz 1.2 AT Kappa2,335000,2013,78301,Petrol,Automatic,Pune,Grey,Second,Individual,1197 cc,79 bhp @ 6000 rpm,112.7619 Nm @ 4000 rpm,FWD,3585.0,1595.0,1550.0,5.0,35.0
1132,Honda,WR-V VX MT Petrol,580000,2017,39000,Petrol,Manual,Guwahati,White,First,Corporate,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3999.0,1734.0,1601.0,5.0,40.0
593,Honda,Jazz V AT Petrol,675000,2017,48650,Petrol,Automatic,Mumbai,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
114,Skoda,Rapid Ambition 1.6 MPI AT Plus,425000,2014,24000,Petrol,Automatic,Mumbai,Beige,Second,Individual,1598 cc,104 bhp @ 5250 rpm,153 Nm @ 3800 rpm,FWD,4386.0,1699.0,1466.0,5.0,55.0
1184,Hyundai,i20 Magna 1.2,385000,2014,46000,Petrol,Manual,Hyderabad,Maroon,First,Individual,1197 cc,83 bhp @ 6000 rpm,113.796 Nm @ 4000 rpm,FWD,3995.0,1710.0,1505.0,5.0,45.0
540,Ford,Ecosport Trend 1.5 Ti-VCT,455000,2014,50000,Petrol,Manual,Delhi,White,Second,Individual,1499 cc,109 bhp @ 6300 rpm,140 Nm @ 4400 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
39,Hyundai,Creta SX 1.6 CRDi (O),1125000,2018,60000,Diesel,Manual,Patna,White,First,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1500 rpm,FWD,4270.0,1780.0,1665.0,5.0,55.0
1765,Volvo,S90 Momentum D4 [2018-2020],4175000,2018,20000,Diesel,Automatic,Delhi,White,First,Individual,1969 cc,190 bhp @ 4250 rpm,400 Nm @ 1750 rpm,FWD,4963.0,1879.0,1443.0,5.0,55.0
1096,Audi,Q3 35 TDI quattro Technology,3250000,2019,41000,Diesel,Automatic,Hyderabad,White,Second,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
688,Hyundai,i10 Asta 1.2 AT with Sunroof,325000,2013,46721,Petrol,Automatic,Thane,Silver,Second,Individual,1197 cc,80@5200,111@4000,FWD,3565.0,1595.0,1550.0,5.0,35.0
1898,Maruti Suzuki,Alto VXI,316000,2019,17491,Petrol,Manual,Kolkata,Others,First,Individual,,,,,,,,,
804,Audi,Q3 2.0 TDI quattro Premium,1390000,2012,69500,Diesel,Automatic,Ahmedabad,Blue,First,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
199,Mahindra,Scorpio S5 2WD 7 STR,1221000,2019,46000,Diesel,Manual,Patna,White,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,7.0,60.0
1644,Toyota,Glanza G,690000,2020,55000,Petrol,Manual,Lucknow,Blue,First,Individual,1197 cc,82 bhp @ 6000 rpm,113 Nm @ 4200 rpm,FWD,3995.0,1745.0,1510.0,5.0,37.0
1659,Toyota,Etios GD,299000,2013,90000,Diesel,Manual,Bulandshahar,Blue,Third,Individual,1364 cc,68 bhp @ 3600 rpm,170 Nm @ 2400 rpm,FWD,4265.0,1695.0,1510.0,5.0,45.0
1299,Mahindra,TUV300 T10,785000,2017,44000,Diesel,Manual,Mumbai,White,First,Individual,1493 cc,100 bhp @ 3750 rpm,240 Nm @ 1600 rpm,RWD,3995.0,1835.0,1839.0,7.0,60.0
348,Audi,Q3 35 TDI Premium + Sunroof,1695000,2015,60000,Diesel,Automatic,Delhi,White,Second,Individual,1968 cc,174 bhp @ 4200 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
1468,Honda,City 1.5 V AT,325000,2010,56000,Petrol,Automatic,Delhi,Gold,First,Individual,1497 cc,118@6600,146@4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
163,MG,Astor Sharp 1.5 CVT,1764999,2021,1942,Petrol,Automatic,Bangalore,Red,First,Individual,1498 cc,108 bhp @ 6000 rpm,144 Nm @ 4400 rpm,FWD,4323.0,1809.0,1650.0,5.0,48.0
1988,Mercedes-Benz,GLA 200 d Style,2500000,2018,90000,Diesel,Automatic,Mumbai,Bronze,Second,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4424.0,1804.0,1494.0,5.0,50.0
1692,Hyundai,Verna Fluidic 1.6 CRDi SX,415000,2014,62000,Diesel,Manual,Delhi,Silver,Second,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
573,BMW,3-Series 330i M Sport Edition,3650000,2019,6000,Petrol,Automatic,Delhi,White,First,Individual,1998 cc,248 bhp @ 5200 rpm,350 Nm @ 1450 rpm,RWD,4633.0,1811.0,1429.0,5.0,57.0
16,Maruti Suzuki,Alto 800 LXi (O),449000,2019,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796 cc,47 bhp @ 6000 rpm,69 Nm @ 3500 rpm,FWD,3445.0,1515.0,1475.0,5.0,35.0
1447,Audi,Q5 40 TDI Premium Plus,4475000,2020,18000,Diesel,Automatic,Delhi,White,Second,Individual,1968 cc,188 bhp @ 3800 rpm,400 Nm @ 1750 rpm,AWD,4663.0,1893.0,1659.0,5.0,70.0
803,Mahindra,Thar CRDe 4x4 AC,875000,2018,24000,Diesel,Manual,Mumbai,White,First,Individual,2498 cc,105 bhp @ 3800 rpm,247 Nm @ 1800 rpm,AWD,3920.0,1726.0,1930.0,6.0,60.0
1294,BMW,5-Series 525d Luxury Plus,2280000,2014,68000,Diesel,Automatic,Pune,Blue,First,Individual,1995 cc,217 bhp @ 4400 rpm,450 Nm @ 1500 rpm,RWD,4899.0,2094.0,1464.0,5.0,
1237,Skoda,Kushaq Style 1.0L TSI AT,1625000,2021,7900,Petrol,Automatic,Pune,Silver,First,Individual,999 cc,114 bhp @ 5000 rpm,178 Nm @ 1750 rpm,FWD,4225.0,1760.0,1612.0,5.0,50.0
1230,Maruti Suzuki,Swift VXi [2014-2017],520000,2018,40000,Petrol,Manual,Patna,Grey,Second,Individual,1197 cc,83 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
1457,Mercedes-Benz,GLA 200 d Sport,2750000,2019,56500,Diesel,Automatic,Delhi,White,First,Individual,2143 cc,134 bhp @ 3600 rpm,300 Nm @ 1600 rpm,FWD,4424.0,1804.0,1494.0,5.0,50.0
132,Hyundai,Verna Fluidic 1.6 CRDi SX,470000,2013,66000,Diesel,Manual,Amritsar,Grey,Third,Individual,1582 cc,126 bhp @ 4000 rpm,260 Nm @ 1900 rpm,FWD,4370.0,1700.0,1475.0,5.0,43.0
1934,Maruti Suzuki,Wagon R LXI CNG (O),325000,2014,58000,CNG,Manual,Delhi,Red,Second,Individual,998 cc,58 bhp @ 6200 rpm,77 Nm @ 3500 rpm,FWD,3599.0,1495.0,1700.0,5.0,35.0
1923,Volvo,XC40 D4 R-Design,3950000,2018,52000,Diesel,Automatic,Bangalore,White,First,Individual,1969 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4425.0,1863.0,1652.0,5.0,54.0
1702,Maruti Suzuki,Swift VXi,299000,2013,47000,Petrol,Manual,Kolkata,Silver,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
94,Mercedes-Benz,GLC 220 d Sport,3900000,2018,83400,Diesel,Automatic,Hyderabad,White,Second,Individual,,,,,,,,,
1847,Hyundai,Elite i20 Asta 1.4 CRDI,690000,2017,65000,Diesel,Manual,Ahmedabad,White,First,Individual,1396 cc,89 bhp @ 4000 rpm,220 Nm @ 1500 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
524,Hyundai,Elite i20 Asta 1.2,625000,2017,42000,Petrol,Manual,Patna,Silver,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
124,Maruti Suzuki,Swift DZire VXI,415000,2014,57402,Petrol,Manual,Delhi,Grey,First,Individual,1197 cc,85 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
1027,Mercedes-Benz,C-Class C 200 Avantgarde,2385000,2015,60921,Petrol,Automatic,Pune,Black,Second,Individual,1991 cc,181 bhp @ 5500 rpm,300 Nm @ 1200 rpm,RWD,4686.0,1810.0,1442.0,5.0,66.0
1460,Hyundai,Creta 1.4 S,800000,2018,68000,Diesel,Manual,Kanpur,Grey,First,Individual,1396 cc,89 bhp @ 4000 rpm,224 Nm @ 1500 rpm,FWD,4270.0,1780.0,1630.0,5.0,60.0
1434,Tata,Safari 2.2 EX 4x2,575000,2013,72000,Diesel,Manual,Ahmedabad,White,Second,Individual,2179 cc,138 bhp @ 4000 rpm,320 Nm @ 1700 rpm,RWD,4655.0,1965.0,1922.0,7.0,55.0
651,Hyundai,Elantra 1.8 SX MT,700000,2014,64000,Petrol,Manual,Dehradun,White,First,Individual,1797 cc,147 bhp @ 6500 rpm,177 Nm @ 4700 rpm,FWD,4530.0,1775.0,1470.0,5.0,56.0
1967,Mahindra,Thar LX 4-STR Hard Top Diesel AT,1875000,2022,15000,Diesel,Automatic,Delhi,Grey,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1844.0,4.0,57.0
884,Maruti Suzuki,Baleno Alpha (O) 1.2,975000,2022,5000,Petrol,Manual,Delhi,White,First,Individual,,,,,,,,,
888,Toyota,Corolla Altis GL,680000,2014,85000,Diesel,Manual,Kanpur,White,Second,Individual,1364 cc,87 bhp @ 3800 rpm,205 Nm @ 1800 rpm,FWD,4620.0,1775.0,1475.0,5.0,50.0
1856,Skoda,Octavia 1.8 TSI Style Plus AT [2017],1390000,2017,56000,Petrol,Automatic,Navi Mumbai,White,First,Individual,1798 cc,177 bhp @ 5100 rpm,250 Nm @ 1250 rpm,FWD,4670.0,1814.0,1476.0,5.0,50.0
1047,Volvo,S60 Kinetic D4,994999,2012,89311,Diesel,Automatic,Hyderabad,White,First,Individual,1984 cc,165 bhp @ 3500 rpm,400 Nm @ 2750 rpm,FWD,4635.0,1865.0,1484.0,5.0,67.5
1015,Maruti Suzuki,Alto VXi,270000,2014,82682,Petrol,Manual,Pune,White,First,Individual,998 cc,67 bhp @ 6200 rpm,90 Nm @ 3500 rpm,FWD,3620.0,1475.0,1460.0,5.0,35.0
975,Honda,City V Petrol,1095000,2022,2700,Petrol,Manual,Delhi,Silver,First,Individual,1497 cc,118 bhp @ 6600 rpm,145 Nm @ 4600 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
569,Mahindra,XUV500 W6,850000,2016,114000,Diesel,Manual,Lucknow,White,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,FWD,4585.0,1890.0,1785.0,7.0,70.0
343,Ford,Ecosport Trend 1.5 TDCi,480000,2014,115000,Diesel,Manual,Pune,White,First,Individual,1498 cc,89 bhp @ 3750 rpm,204 Nm @ 2000 rpm,FWD,3999.0,1765.0,1708.0,5.0,52.0
471,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],565000,2016,29000,Petrol,Automatic,Mumbai,Silver,First,Individual,1197 cc,79 bhp @ 6000 rpm,112 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
980,Audi,Q3 35 TDI quattro Premium Plus,2100000,2017,42000,Diesel,Automatic,Gurgaon,Silver,First,Individual,1968 cc,184 bhp @ 3500 rpm,380 Nm @ 1750 rpm,AWD,4385.0,1831.0,1608.0,5.0,64.0
1110,Hyundai,Grand i10 Magna AT 1.2 Kappa VTVT,549000,2018,53000,Petrol,Automatic,Hyderabad,White,Second,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
1464,BMW,X1 sDrive20d Expedition,2385000,2017,22120,Diesel,Automatic,Delhi,White,First,Individual,1995 cc,188 bhp @ 4000 rpm,400 Nm @ 1750 rpm,FWD,4439.0,1821.0,1612.0,5.0,51.0
1732,Maruti Suzuki,Alto LXi BS-III,200000,2008,41000,Petrol,Manual,Mysore,Blue,First,Individual,796 cc,47@6200,62@3000,,3495.0,1475.0,1460.0,5.0,35.0
1562,Hyundai,Elite i20 Asta 1.2 (O) [2016],725000,2017,36597,Petrol,Manual,Hyderabad,Red,Second,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
777,Nissan,Sunny XV Diesel,360000,2013,92000,Diesel,Manual,Lucknow,Grey,Second,Individual,1461 cc,85 bhp @ 3750 rpm,200 Nm @ 2000 rpm,FWD,4425.0,1695.0,1505.0,5.0,41.0
54,Tata,Tiago Revotron XZA [2017-2019],475000,2017,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,1199 cc,84 bhp @ 6000 rpm,114 Nm @ 3500 rpm,FWD,3746.0,1647.0,1535.0,5.0,35.0
1943,Honda,City V Diesel,600000,2016,70000,Diesel,Manual,Kanpur,Silver,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
738,Toyota,Fortuner 2.8 4x4 AT [2016-2020],4300000,2021,60000,Diesel,Automatic,Chandigarh,White,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,AWD,4795.0,1855.0,1835.0,7.0,80.0
356,Honda,Amaze 1.5 SX i-DTEC,385000,2013,72567,Diesel,Manual,Samastipur,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,3990.0,1680.0,1505.0,5.0,35.0
2013,Maruti Suzuki,Swift VDi,590000,2014,86000,Diesel,Manual,Coimbatore,White,First,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3850.0,1695.0,1530.0,5.0,42.0
392,Mahindra,Scorpio S10,1150000,2014,99000,Diesel,Manual,Ludhiana,Silver,First,Individual,2179 cc,120 bhp @ 4000 rpm,280 Nm @ 1800 rpm,RWD,4456.0,1820.0,1995.0,8.0,60.0
230,Honda,Amaze VX CVT 1.2 Petrol,869000,2021,8700,Petrol,Automatic,Mangalore,Brown,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3995.0,1695.0,1501.0,5.0,35.0
1320,Volkswagen,Polo Highline1.2L (P),325000,2013,53000,Petrol,Manual,Meerut,Red,Second,Individual,1198 cc,74 bhp @ 5400 rpm,110 Nm @ 3750 rpm,FWD,3970.0,1682.0,1453.0,5.0,45.0
200,BMW,X5 xDrive 30d M Sport,2975000,2015,86999,Diesel,Automatic,Mohali,Yellow,First,Individual,2993 cc,258 bhp @ 4000 rpm,560 Nm @ 1500 rpm,AWD,4886.0,1938.0,1762.0,5.0,
1801,Maruti Suzuki,Wagon R Duo LXi LPG,195000,2009,102000,LPG,Manual,Nashik,White,First,Individual,1061 cc,58@6000,77@4500,FWD,3520.0,1475.0,1660.0,5.0,35.0
932,Volvo,V40 D3 R-Design,1689999,2015,50000,Diesel,Automatic,Coimbatore,White,Second,Individual,1984 cc,150 bhp @ 3500 rpm,350 Nm @ 1500 rpm,FWD,4370.0,1783.0,1458.0,5.0,60.0
1679,Maruti Suzuki,Wagon R LXi,285000,2013,25200,Petrol,Manual,Ahmedabad,White,First,Individual,998 cc,68@6200,90@3500,,3539.0,1475.0,1700.0,5.0,35.0
1709,Mahindra,Thar LX 4-STR Convertible Diesel MT,1700000,2021,17000,Diesel,Manual,Karnal,Silver,First,Individual,2184 cc,130 bhp @ 3750 rpm,300 Nm @ 1600 rpm,AWD,3985.0,1820.0,1855.0,4.0,57.0
136,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],484999,2018,55221,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
1343,Hyundai,Eon Magna +,405000,2018,34000,Petrol,Manual,Hyderabad,Red,First,Individual,814 cc,55 bhp @ 5500 rpm,75 Nm @ 4000 rpm,FWD,3495.0,1550.0,1500.0,5.0,32.0
1920,Toyota,Fortuner 2.8 4x4 AT [2016-2020],3200000,2017,110000,Diesel,Automatic,Chandigarh,Grey,First,Individual,2755 cc,174 bhp @ 3400 rpm,450 Nm @ 1600 rpm,AWD,4795.0,1855.0,1835.0,7.0,80.0
2028,Honda,City SV Diesel,750000,2018,75000,Diesel,Manual,Faridabad,White,First,Individual,1498 cc,99 bhp @ 3600 rpm,200 Nm @ 1750 rpm,FWD,4440.0,1695.0,1495.0,5.0,40.0
1880,Volkswagen,Polo Highline1.5L (D),625000,2014,54000,Diesel,Manual,Bangalore,Grey,First,Individual,1498 cc,89 bhp @ 4200 rpm,230 Nm @ 1500 rpm,FWD,3971.0,1682.0,1469.0,5.0,45.0
501,Maruti Suzuki,Swift DZire VDI,475000,2016,55353,Diesel,Manual,Kanpur,Grey,Second,Individual,1248 cc,74 bhp @ 4000 rpm,190 Nm @ 2000 rpm,FWD,3995.0,1695.0,1555.0,5.0,42.0
933,Nissan,Magnite XL,625000,2021,28000,Petrol,Manual,Zirakpur,White,First,Corporate,999 cc,71 bhp @ 6250 rpm,96 Nm @ 3500 rpm,FWD,3994.0,1758.0,1572.0,5.0,40.0
254,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],445000,2016,22402,Petrol,Manual,Mumbai,Grey,First,Individual,1197 cc,81 bhp @ 6000 rpm,114 Nm @ 4000 rpm,FWD,3765.0,1660.0,1520.0,5.0,43.0
1955,Hyundai,Elite i20 Sportz 1.2 (O),660000,2018,9000,Petrol,Manual,Mumbai,Grey,First,Individual,1197 cc,82 bhp @ 6000 rpm,115 Nm @ 4000 rpm,FWD,3985.0,1734.0,1505.0,5.0,45.0
2023,Mahindra,XUV500 W10 AWD,735000,2015,121000,Diesel,Manual,Kanpur,White,First,Individual,2179 cc,138 bhp @ 3750 rpm,330 Nm @ 1600 rpm,AWD,4585.0,1890.0,1785.0,7.0,70.0
1882,BMW,X3 20d M Sport,4195000,2017,63651,Diesel,Automatic,Bangalore,White,First,Individual,1995 cc,190 bhp @ 4000 rpm,400 Nm @ 1750 rpm,AWD,4657.0,1881.0,1678.0,5.0,67.0
34,Hyundai,Santro GL (CNG),145000,2009,72000,CNG,Manual,Kanpur,Silver,Second,Individual,1086 cc,62 bhp @ 5500 rpm,96 Nm @ 3000 rpm,FWD,3565.0,1525.0,1590.0,5.0,35.0
745,Hyundai,Santro Sportz AMT [2018-2020],465000,2019,19000,Petrol,Automatic,Kolkata,Gold,First,Individual,1086 cc,68 bhp @ 5500 rpm,99 Nm @ 4500 rpm,FWD,3610.0,1645.0,1560.0,5.0,35.0
1213,Hyundai,Creta SX (O) 1.5 Diesel [2020-2022],1625000,2022,27800,Diesel,Manual,Gurgaon,White,First,Individual,1493 cc,113 bhp @ 4000 rpm,250 Nm @ 1500 rpm,FWD,4300.0,1790.0,1635.0,5.0,50.0
314,Honda,Jazz V AT Petrol,545000,2015,42000,Petrol,Automatic,Delhi,White,First,Individual,1199 cc,89 bhp @ 6000 rpm,110 Nm @ 4800 rpm,FWD,3955.0,1694.0,1544.0,5.0,40.0
1070,Jeep,Compass Sport 1.4 Petrol,1748999,2021,25700,Petrol,Manual,Karnal,Black,First,Corporate,1368 cc,160 bhp @ 5500 rpm,250 Nm @ 2500 rpm,FWD,4395.0,1818.0,1640.0,5.0,60.0
